time, prefix, as_path, leaker
2023-02-27 07:37:08,185.9.76.0/24,28186 7738 52320 6461 20485 48940 31133 174 3356 20764 8641 61068 61068 ,20485
2023-02-27 13:08:57,123.253.48.0/24,394256 54527 3356 4637 9304 9927 58453 174 15412 135607 136515 ,9927
2023-02-27 13:15:15,103.91.142.0/24,133188 6461 58453 9927 9304 1239 2914 15412 135607 136515 ,58453
2023-02-27 15:41:45,125.212.63.0/24,263287 262868 28329 3356 4637 18187 3491 6453 9299 38301 ,18187
2023-03-01 01:47:03,89.47.6.0/24,201953 50607 3356 6453 29119 201337 201337 201337 201337 201337 201337 201337 201337 200845 174 200845 ,201337
2023-03-01 11:04:03,196.43.244.0/24,204092 34019 6696 6461 16637 29465 37282 3356 6762 44356 37076 37125 37125 37125 37125 37125 37125 37125 37125 37125 37125 37490 ,37282
2023-03-01 20:09:16,102.176.240.0/24,28186 7738 52320 6461 16637 29465 37282 6453 174 327708 36873 36873 328256 328256 328256 ,37282
2023-03-02 05:19:26,162.208.110.0/23,263287 263396 263321 61568 18881 12956 2828 36498 7922 174 20473 20473 55079 ,36498
2023-03-02 06:37:36,199.48.64.0/22,28186 7738 52320 6461 577 29974 812 6453 174 19752 53877 ,577
2023-03-02 22:16:08,200.6.27.0/24,63774 17676 17676 6461 52320 11562 3549 27862 ,11562
2023-03-04 01:18:09,103.77.225.0/24,28646 8167 7738 62663 6762 4637 38442 38442 38442 4648 9241 6939 6461 7473 7474 45349 4638 135647 ,38442
2023-03-04 10:41:59,202.65.59.0/24,53235 25933 16735 6762 4637 45177 10131 60725 3549 3356 174 60725 ,4637
2023-03-04 10:28:26,185.157.67.0/24,19704 13977 6461 31500 39046 9002 3356 2914 396998 18779 394545 ,39046
2023-03-04 14:15:55,45.60.199.0/24,204092 34019 6461 7473 3758 3491 19551 ,3758
2023-03-04 16:01:03,162.244.222.0/24,206640 29535 5617 5511 3356 3910 209 3561 14870 ,3910
2023-03-06 05:35:34,185.231.5.0/24,201953 50607 6939 3320 24961 35657 174 3356 8220 42989 51201 ,24961
2023-03-06 08:09:34,80.87.254.0/24,38987 5617 5511 9002 8400 25144 25144 25144 25144 198252 21107 5603 6762 1299 9146 ,198252
2023-03-06 19:53:51,115.42.124.0/24,133188 6461 38195 4637 18187 3491 58453 9927 135345 137406 ,18187
2023-03-07 00:32:08,195.160.168.0/23,63774 9607 4637 6461 20562 16218 24785 1299 8881 8881 31371 ,20562
2023-03-07 00:32:08,193.43.220.0/23,11039 46887 6461 20562 16218 24785 1299 8881 8881 31371 35675 ,20562
